Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Total to Soil (MP),140$\pm$78,94$\pm$23,159$\pm$48,19.6$\pm$5.2,6.5$\pm$1.8,110$\pm$34,67$\pm$43,600$\pm$110,234$\pm$81,0.0261$\pm$0.0055,6,4,6,4,2,6,4,6,6,4
Total to Water (MP),0.41$\pm$0.2,3.7$\pm$3.1,3.1$\pm$2.2,0.59$\pm$0.32,0.181$\pm$0.086,2.8$\pm$1.7,4.1$\pm$6.7,14.9$\pm$8.8,4.1$\pm$3.1,0.00077$\pm$0.00034,1,2,2,1,1,2,2,4,2,1
Total to Soil,620$\pm$240,690$\pm$410,850$\pm$340,180$\pm$100,122$\pm$99,410$\pm$290,1550$\pm$970,4400$\pm$1200,1300$\pm$480,0.3$\pm$0.14,6,6,6,6,6,6,8,8,8,6
Total to Water,11.2$\pm$8.3,21$\pm$14,16$\pm$10,4.5$\pm$3.3,2$\pm$1.7,5.6$\pm$4.1,48$\pm$35,109$\pm$41,33$\pm$17,0.0065$\pm$0.0037,4,4,4,2,2,2,4,6,4,2
External to Import,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Waste collection and recycling,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to On-the-go consumption,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Litter,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Dumping,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Indoor air,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
External to Air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Organic waste collection,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Compost,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Compost (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Total,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
